"","JOIN_NUMBER","assets","years","highest_degree"
"610",14675,336106219,20,"Bachelor's"
"611",14689,1143552,30,"Bachelor's"
"612",14716,46615886,14,"Bachelor's"
"613",14752,6221593,28,"Bachelor's"
"614",14754,52867398,31,"Bachelor's"
"615",14761,19885115,16,"Bachelor's"
"616",14764,21111260,32,"Master's"
"617",14817,66398266,14,"Bachelor's"
"618",14824,117746138,9,"Master's"
"619",14845,67016221,7,"Master's"
"620",14847,395573387,17,"Master's"
"621",14859,22386170,35,"Bachelor's"
"622",14873,319121505,48,"Bachelor's"
"623",14930,55782183,20,"Bachelor's"
"624",14936,130358992,15,"Bachelor's"
"625",14937,216583243,34,"Bachelor's"
"626",14966,114826372,20,"Associate's"
"627",14977,288579423,37,"Bachelor's"
"628",15010,461771159,23,"Master's"
"629",15033,523080979,19,"Bachelor's"
"630",15042,30506754,22,"Bachelor's"
"631",15058,65404671,32,"Bachelor's"
"632",15087,711672,38,"Bachelor's"
"633",15096,320776,21,"Bachelor's"
"634",15101,231877042,28,"Bachelor's"
"635",15125,196147717,16,"Bachelor's"
"636",15139,19451906,18,"Bachelor's"
"637",15143,33396848,23,"Associate's"
"638",15154,109316503,23,"Bachelor's"
"639",15157,542366293,22,"Master's"
"640",15176,792866579,17,"Master's"
"641",15196,609902433,14,"Master's"
"642",15197,162268379,26,"Bachelor's"
"643",15237,23058582,28,"Bachelor's"
"644",15242,49029754,6,"Bachelor's"
"645",15252,116881707,13,"Master's"
"646",15272,11529683,32,"Bachelor's"
"647",15309,191954637,40,"Master's"
"648",15326,164310439,30,"Bachelor's"
"649",15331,88773553,4,"Master's"
"650",15383,384261735,11,"Bachelor's"
"651",15400,749578,8,"Bachelor's"
"652",15462,547874184,27,"Bachelor's"
"653",15523,588916226,28,"Bachelor's"
"654",15529,25993817,34,"Bachelor's"
"655",15619,15424905,18,"Bachelor's"
"656",15644,21198321,13,"Master's"
"657",15660,66248245,12,"Bachelor's"
"658",15670,180292848,47,"Master's"
"659",15711,375659310,31,"Bachelor's"
"660",15714,873547848,16,"Master's"
"661",15785,534176624,22,"Bachelor's"
"662",15786,588935556,6,"Bachelor's"
"663",15787,1453260,33,"Master's"
"664",15808,13247938,35,"Doctorate's"
"665",15831,56287251,4,"Bachelor's"
"666",15860,230009682,26,"Bachelor's"
"667",15907,24065693,31,"Bachelor's"
"668",15923,873393259,8,"Master's"
"669",15930,645025793,25,"Bachelor's"
"670",15952,26372474,13,"Bachelor's"
"671",15958,44319801,22,"Master's"
"672",15960,69732199,2,"Doctorate's"
"673",15964,249547062,14,"Bachelor's"
"674",15986,86696101,39,"Master's"
"675",16012,39661056,30,"Bachelor's"
"676",16026,830645062,13,"Master's"
